Conjunto Vera Cruz ,Jardim América ,Jd. Balneário Meia Ponte ,Jd. Curitiba ,Jd. Goiás ,Jd. Guanabara ,Jd. Nova Esperanca ,Jd. Novo Mundo ,Parque Amazônia ,Setor Bueno ,Setor Central ,Setor Leste Universitário ,Setor Marista ,Setor Oeste ,Setor Pedro Ludovico ,Setor Urias Magalhaes ,Vila Itatiaia ,Vila Jardim São Judas Tadeu 
417.0,902.0,381.0,488.0,545.0,562.0,431.0,778.0,631.0,1375.0,700.0,460.0,329.0,805.0,596.0,379.0,107.0,126.0
417.0,902.0,381.0,488.0,545.0,562.0,431.0,778.0,631.0,1375.0,700.0,460.0,329.0,805.0,596.0,379.0,107.0,126.0
423.0,911.0,383.0,490.0,555.0,564.0,436.0,807.0,644.0,1391.0,709.0,464.0,330.0,819.0,600.0,385.0,106.0,128.0
423.0,911.0,383.0,490.0,555.0,564.0,436.0,807.0,644.0,1391.0,709.0,464.0,330.0,819.0,600.0,385.0,106.0,128.0
503.0,959.0,419.0,528.0,580.0,580.0,461.0,864.0,683.0,1479.0,771.0,498.0,342.0,866.0,643.0,400.0,109.0,137.0
503.0,959.0,419.0,528.0,580.0,580.0,461.0,864.0,683.0,1479.0,771.0,498.0,342.0,866.0,643.0,400.0,109.0,137.0
503.0,959.0,419.0,528.0,580.0,580.0,461.0,864.0,683.0,1479.0,771.0,498.0,342.0,866.0,643.0,400.0,109.0,137.0
503.0,959.0,419.0,528.0,580.0,580.0,461.0,864.0,683.0,1479.0,771.0,498.0,342.0,866.0,643.0,400.0,109.0,137.0
503.0,959.0,419.0,528.0,580.0,580.0,461.0,864.0,683.0,1479.0,771.0,498.0,342.0,866.0,643.0,400.0,109.0,137.0
503.0,959.0,419.0,528.0,580.0,580.0,461.0,864.0,683.0,1479.0,771.0,498.0,342.0,866.0,643.0,400.0,109.0,137.0
545.0,1100.0,455.0,551.0,628.0,616.0,496.0,923.0,768.0,1606.0,853.0,552.0,367.0,946.0,734.0,440.0,119.0,153.0
545.0,1100.0,455.0,551.0,628.0,616.0,496.0,923.0,768.0,1606.0,853.0,552.0,367.0,946.0,734.0,440.0,119.0,153.0
590.0,1240.0,488.0,580.0,659.0,666.0,526.0,967.0,838.0,1719.0,887.0,593.0,387.0,1008.0,778.0,493.0,138.0,159.0
590.0,1240.0,488.0,580.0,659.0,666.0,526.0,967.0,838.0,1719.0,887.0,593.0,387.0,1008.0,778.0,493.0,138.0,159.0
